,popularity,song_id,artist_id,album_id,song_name,artist_name,album_name,explicit,disc_number,track_number,uri,tempo,type,key,loudness,mode,speechiness,liveness,valence,danceability,energy,track_href,analysis_url,duration_ms,time_signature,acousticness,instrumentalness,artist_genres,artist_popularity,album_genres,album_popularity,album_release_date
0,83,3jfZ9M23l0L7RxzYMTgBTv,4jCIAMb0zEArF3GYEYzoDk,7slouenWhZDdDZibkS4nR3,Looking Out for You,Joy Again,Looking Out for You,False,1,1,spotify:track:3jfZ9M23l0L7RxzYMTgBTv,100.721,audio_features,9.0,-5.028,1.0,0.0874,0.0685,0.937,0.682,0.9,https://api.spotify.com/v1/tracks/3jfZ9M23l0L7RxzYMTgBTv,https://api.spotify.com/v1/audio-analysis/3jfZ9M23l0L7RxzYMTgBTv,179499.0,4.0,0.0884,0.063,"['indie garage rock', 'indie pop']",68,[],74,2016-01-15
1,62,4JRem7xHp2l0kmUvt9zCKu,0oSGxfWSnnOXhD2fKuz2Gy,0MWrKayUshRuT8maG4ZAOU,Golden Years - 2016 Remaster,David Bowie,Station to Station (2016 Remaster),False,1,2,spotify:track:4JRem7xHp2l0kmUvt9zCKu,108.287,audio_features,6.0,-10.36,0.0,0.036,0.111,0.933,0.68,0.701,https://api.spotify.com/v1/tracks/4JRem7xHp2l0kmUvt9zCKu,https://api.spotify.com/v1/audio-analysis/4JRem7xHp2l0kmUvt9zCKu,243280.0,4.0,0.316,4.72e-06,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",79,[],57,1976-01-23
2,58,1JIzFhI9Lt5FyslawmHCBi,0oSGxfWSnnOXhD2fKuz2Gy,48D1hRORqJq52qsnUYZX56,Five Years - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),False,1,1,spotify:track:1JIzFhI9Lt5FyslawmHCBi,152.531,audio_features,7.0,-10.699,1.0,0.0417,0.0449,0.321,0.46,0.326,https://api.spotify.com/v1/tracks/1JIzFhI9Lt5FyslawmHCBi,https://api.spotify.com/v1/audio-analysis/1JIzFhI9Lt5FyslawmHCBi,283753.0,3.0,0.142,1.01e-05,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",79,[],72,1972-06-06
3,24,5oR2dGPNuNJ3ApZjQ2zUwN,0oSGxfWSnnOXhD2fKuz2Gy,3aGkjugjzDWaETRbbRafoF,Golden Years - 2016 Remaster,David Bowie,ChangesOneBowie,False,1,11,spotify:track:5oR2dGPNuNJ3ApZjQ2zUwN,108.263,audio_features,11.0,-9.718,1.0,0.0389,0.129,0.93,0.679,0.729,https://api.spotify.com/v1/tracks/5oR2dGPNuNJ3ApZjQ2zUwN,https://api.spotify.com/v1/audio-analysis/5oR2dGPNuNJ3ApZjQ2zUwN,243280.0,4.0,0.295,6.4e-06,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",79,[],47,1976
4,12,4cWnkZRBaWVCQSWKAiv2ku,0oSGxfWSnnOXhD2fKuz2Gy,70WwEIDaiRPiZWzJBcqKO9,Golden Years - 2016 Remaster,David Bowie,Who Can I Be Now? [1974 - 1976],False,6,2,spotify:track:4cWnkZRBaWVCQSWKAiv2ku,108.287,audio_features,6.0,-10.36,0.0,0.036,0.111,0.933,0.68,0.701,https://api.spotify.com/v1/tracks/4cWnkZRBaWVCQSWKAiv2ku,https://api.spotify.com/v1/audio-analysis/4cWnkZRBaWVCQSWKAiv2ku,243280.0,4.0,0.316,4.72e-06,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",79,[],39,2016-09-23
5,83,4cHKd6qPMR1TMx55KHlida,1QfpRUtH14JLoY6F6AYmwt,3SmiRZtLKHDHk5bmLpOvtg,Notion,The Rare Occasions,Futureproof,False,1,3,spotify:track:4cHKd6qPMR1TMx55KHlida,159.579,audio_features,9.0,-3.825,1.0,0.0813,0.0849,0.314,0.307,0.884,https://api.spotify.com/v1/tracks/4cHKd6qPMR1TMx55KHlida,https://api.spotify.com/v1/audio-analysis/4cHKd6qPMR1TMx55KHlida,195121.0,4.0,0.0678,0.00103,['la indie'],69,[],75,2016-08-05
6,24,0UsmyJDsst2xhX1ZiFF3JW,6kfcndVsu8F9Y5gL5xc717,5gWxh24iphqQ8WDh8MBMfe,Year2015,Schoolgirl Byebye,軟弱,False,1,1,spotify:track:0UsmyJDsst2xhX1ZiFF3JW,69.893,audio_features,9.0,-15.775,1.0,0.0342,0.16,0.161,0.314,0.0855,https://api.spotify.com/v1/tracks/0UsmyJDsst2xhX1ZiFF3JW,https://api.spotify.com/v1/audio-analysis/0UsmyJDsst2xhX1ZiFF3JW,74302.0,3.0,0.969,0.795,"['chinese indie', 'sinogaze', 'southern china indie', 'taiwan pop']",39,[],41,2020-09-16
7,86,6gBFPUFcJLzWGx4lenP6h2,0Y5tJX1MQlPlqiwlOH1tJY,42WVQWuf1teDysXiOupIZt,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,True,1,9,spotify:track:6gBFPUFcJLzWGx4lenP6h2,130.049,audio_features,7.0,-3.37,1.0,0.0484,0.149,0.43,0.841,0.728,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0,0.0847,0.0,"['rap', 'slap house']",92,[],82,2016-09-16
8,71,0ESJlaM8CE1jRWaNtwSNj8,0Y5tJX1MQlPlqiwlOH1tJY,42WVQWuf1teDysXiOupIZt,beibs in the trap,Travis Scott,Birds In The Trap Sing McKnight,True,1,5,spotify:track:0ESJlaM8CE1jRWaNtwSNj8,119.054,audio_features,7.0,-6.054,0.0,0.145,0.291,0.495,0.743,0.571,https://api.spotify.com/v1/tracks/0ESJlaM8CE1jRWaNtwSNj8,https://api.spotify.com/v1/audio-analysis/0ESJlaM8CE1jRWaNtwSNj8,213863.0,4.0,0.24,0.0,"['rap', 'slap house']",92,[],82,2016-09-16
9,69,1Ci4wASMY4xtKVMeHA6Sd5,0Y5tJX1MQlPlqiwlOH1tJY,42WVQWuf1teDysXiOupIZt,through the late night,Travis Scott,Birds In The Trap Sing McKnight,True,1,4,spotify:track:1Ci4wASMY4xtKVMeHA6Sd5,127.051,audio_features,5.0,-1.218,0.0,0.0359,0.119,0.242,0.744,0.589,https://api.spotify.com/v1/tracks/1Ci4wASMY4xtKVMeHA6Sd5,https://api.spotify.com/v1/audio-analysis/1Ci4wASMY4xtKVMeHA6Sd5,286236.0,4.0,0.36,0.0,"['rap', 'slap house']",92,[],82,2016-09-16
